Country,Child early and forced marriage,Domestic violence/Intimate partner violence,Female genital mutilation,Female genital mutilation.1,Femicide Feminicide,Forced pregnancy,Forced sterilization,Form Of Violence,Other harmful practices,Sexual harassment,Sexual violence,Stalking,Technology-facilitated violence against women,Trafficking,Violence against women and girls,tot_prev,ISO
Central African Republic,0,3,1,0,0,0,0,0,0,0,1,0,0,0,11,16,CAF
Chad,3,2,3,0,0,0,0,0,0,0,3,0,0,2,21,34,TCD
Chile,0,33,0,0,2,0,0,0,0,3,3,0,0,8,30,79,CHL
China,1,14,0,0,0,0,0,0,0,0,2,0,0,8,9,34,CHN
Colombia,0,21,5,1,1,0,0,0,0,0,9,0,0,6,42,85,COL
Comoros,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,16,COM
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,COG
Costa Rica,0,20,0,0,1,0,0,0,0,2,1,0,0,2,15,41,CRI
Croatia,0,25,0,0,2,0,0,0,0,1,1,0,0,7,19,55,HRV
Cuba,0,4,0,0,0,0,0,0,0,0,2,0,0,0,6,12,CUB
Cyprus,0,22,1,0,0,0,0,0,0,2,3,0,0,9,15,52,CYP
Czechia,0,19,0,0,0,0,0,0,0,2,0,1,0,2,10,34,CZE
Côte d’Ivoire,2,1,4,0,0,0,0,0,0,1,7,0,0,0,11,26,CIV
Democratic Republic of the Congo,3,1,1,0,0,0,0,0,0,0,5,0,0,1,11,22,COD
Denmark,1,28,1,0,0,0,0,0,2,0,6,1,0,8,8,55,DNK
Djibouti,1,1,21,0,0,0,0,0,1,2,2,0,0,2,7,37,DJI
Dominica,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,7,DMA
Dominican Republic,0,22,0,0,1,0,0,0,1,0,1,0,0,3,32,60,DOM
Ecuador,0,29,0,0,2,0,0,0,0,0,10,0,0,6,24,71,ECU
Egypt,1,1,3,0,0,0,0,0,1,0,1,0,0,1,12,20,EGY
El Salvador,0,21,0,0,3,0,0,0,0,1,2,0,0,6,17,50,SLV
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,GNQ
Eritrea,1,3,8,0,0,0,0,0,1,0,2,0,0,2,6,23,ERI
Estonia,0,19,0,0,0,0,0,0,0,1,2,0,0,15,12,49,EST
Eswatini,1,1,0,0,0,0,0,0,0,0,1,0,0,1,15,19,SWZ
Ethiopia,0,0,8,0,0,0,0,0,0,1,2,0,0,4,10,25,ETH
Fiji,0,6,0,0,0,0,0,0,0,0,0,0,0,1,11,18,FJI
